04THT,730852.00N,0684059.00W
08YBK,634504.60N,1000002.47W
16YYQ,604627.33N,0995957.28W
32YZF,614500.57N,1100004.22W
4850N,480000.00N,0500000.00W
4950N,490000.00N,0500000.00W
5050N,500000.00N,0500000.00W
5150N,510000.00N,0500000.00W
5250N,520000.00N,0500000.00W
5350N,530000.00N,0500000.00W
53YRT,605100.00N,1000000.00W
5595N,550000.00N,0950000.00W
5850N,580000.00N,0500000.00W
5890N,580000.00N,0900000.00W
5950N,590000.00N,0500000.00W
63YBK,621456.50N,0995943.43W
66YBK,651453.68N,0895957.59W
6860N,680000.00N,0600000.00W
69YEK,574214.97N,0882029.57W
70N05,700000.00N,1050000.00W
7580N,750000.00N,0800000.00W
8083N,800000.00N,0830000.00W
ABCID,43221.00N,791942.00W
ABCOT,45236.00N,733749.00W
ABENY,54156.00N,113433.00W
ABNEE,45338.00N,741121.00W
ACKIN,545728.00N,1152826.00W
ACO59,420255.32N,0813515.60W
ADRAX,455731.00N,661154.00W
ADREX,591749.00N,1074137.00W
ADSAM,695516.13N,0631311.62W
ADSED,434918.4342N,0794901.1498W
ADSIT,51722.00N,1134739.00W
ADSIX,4970.00N,122300.00W
ADSUR,504118.00N,73156.00W
ADUIM,52381.00N,1141447.00W
ADVEG,482041.00N,71837.00W
ADVIV,441016.08N,0772430.59W
AFINS,5106.00N,1204111.00W
AGBUT,444452.00N,794643.00W
AGDAN,505341.00N,1134144.00W
AGGUA,501515.00N,1245955.00W
AGLIN,453011.00N,751547.00W
AGNEX,45363.00N,77611.00W
AGPAL,543144.00N,1304646.00W
AIRIE,524648.00N,1231147.00W
AJAX,502907.10N,1044410.03W
ALBRO,505650.00N,1143557.00W
ALDDA,49330.00N,1162040.00W
ALEXS,454354.00N,733911.00W
ALGAR,56056.00N,112546.00W
ALIVE,542147.00N,122953.00W
ALKAP,622734.00N,106210.00W
ALKOB,512848.00N,64127.00W
ALKOG,50146.00N,974351.00W
